,Abundance: F1: 128C  Sample  1  C,Abundance: F2: 128C  Sample  2  C,Abundance: F3: 128C  Sample  3  C,Abundance: F1: 12       9C  Sample  1  A,Abundance: F2: 129C  Sample  2  A,Abundance: F3: 129C  Sample  3  A,Abundance: F1: 130C  Sample  1  AB,Abundance: F2: 130C  Sample  2  AB,Abundance: F3: 130C  Sample  3  AB,Abundance: F1: 131  Sample  1  B,Abundance: F2: 131  Sample  2  B,Abundance: F3: 131  Sample  3  B,Abundances Count: F1: 128C  Sample  1  C,Abundances Count: F2: 128C  Sample  2  C,Abundances Count: F3: 128C  Sample  3  C,Abundances Count: F1: 129C  Sample  1  A,Abundances Count: F2: 129C  Sample  2  A,Abundances Count: F3: 129C  Sample  3  A,Abundances Count: F1: 130C  Sample  1  AB,Abundances Count: F2: 130C  Sample  2  AB,Abundances Count: F3: 130C  Sample  3  AB,Abundances Count: F1: 131  Sample  1  B,Abundances Count: F2: 131  Sample  2  B,Abundances Count: F3: 131  Sample  3  B,Found in File: [F1],Found in File: [F2],Found in File: [F3],Found in Fraction: F1.1,Found in Fraction: F1.2,Found in Fraction: F1.3,Found in Fraction: F1.4,Found in Fraction: F1.5,Found in Fraction: F1.6,Found in Fraction: F2.1,Found in Fraction: F2.2,Found in Fraction: F2.3,Found in Fraction: F2.4,Found in Fraction: F2.5,Found in Fraction: F2.6,Found in Fraction: F3.1,Found in Fraction: F3.2,Found in Fraction: F3.3,Found in Fraction: F3.4,Found in Fraction: F3.5,Found in Fraction: F3.6,Found in Sample: [S1] F1: 128C  Sample  1  C,Found in Sample: [S5] F2: 128C  Sample  2  C,Found in Sample: [S9] F3: 128C  Sample  3  C,Found in Sample: [S2] F1: 129C  Sample  1  A,Found in Sample: [S6] F2: 129C  Sample  2  A,Found in Sample: [S10] F3: 129C  Sample  3  A,Found in Sample: [S3] F1: 130C  Sample  1  AB,Found in Sample: [S7] F2: 130C  Sample  2  AB,Found in Sample: [S11] F3: 130C  Sample  3  AB,Found in Sample: [S4] F1: 131  Sample  1  B,Found in Sample: [S8] F2: 131  Sample  2  B,Found in Sample: [S12] F3: 131  Sample  3  B,Found in Sample Group: C,Found in Sample Group: A,Found in Sample Group: AB,Found in Sample Group: B,Modifications,normalized Abundance: F2: 130C  Sample  2  AB,normalized Abundance: F2: 131  Sample  2  B,normalized Abundance: F1: 128C  Sample  1  C,normalized Abundance: F3: 129C  Sample  3  A,normalized Abundances Count: F1: 130C  Sample  1  AB,normalized Abundance: F1: 131  Sample  1  B,average_normalized : F,P VALUE of : F,average_normalized ,P VALUE of ,average_normalized_of_CONTROL
30,10493.6,11888.6,7480.3,12352.2,13942.2,8894.8,8864.0,10031.1,6490.8,12814.4,14261.4,8914.0,46.0,45.0,49.0,46.0,45.0,49.0,46.0,45.0,49.0,46.0,45.0,49.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,48.80249295396591,49.38393752686632,42.953745395006145,44.167870963323175,46.0,49.14341633716394,43.56080817916466,0.03521560640311982,47.57170816858197,0.5074037894587711,49.093215240416114
31,50868.9,52993.8,40368.5,56049.4,58781.1,44674.7,38568.0,40547.5,31127.9,55483.2,58408.4,44228.6,41.0,43.0,43.0,41.0,43.0,43.0,41.0,43.0,43.0,41.0,43.0,43.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,197.2684035699906,202.2548120552133,208.2230863692182,221.83594739906167,41.0,212.77890477261005,215.02951688413992,0.23889155509874102,126.88945238630502,0.5520213532045068,199.76160781260194
32,8746.4,7896.8,4343.2,9136.6,7852.2,4466.0,6565.4,5690.6,3166.1,8966.4,7841.0,4310.5,62.0,57.0,47.0,62.0,57.0,47.0,61.0,57.0,47.0,62.0,57.0,46.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,27.68544490672393,27.15157376892583,35.801882930822764,22.176295332351632,61.0,34.386278580779965,28.9890891315872,0.8557755201794477,47.69313929038998,0.3696745992591599,27.41850933782488
33,10226.2,13608.0,8849.6,11787.2,15565.2,9905.5,7810.5,10186.3,6595.5,10005.8,13173.6,8516.0,32.0,32.0,30.0,32.0,32.0,30.0,32.0,32.0,30.0,32.0,32.0,30.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],49.55755938800161,45.61713712566271,41.859189521080644,49.18658607581932,32.0,38.3723931816078,45.522887798449986,0.6814966096098216,35.1861965908039,0.10222441392053398,47.58734825683216
34,11163.8,14344.9,8730.1,11367.0,14320.3,8663.8,9531.9,12144.6,7585.4,13040.8,16748.8,10167.3,46.0,45.0,43.0,46.0,45.0,43.0,46.0,45.0,43.0,46.0,45.0,43.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,59.08492148704872,57.99722978459187,45.697093737208355,43.02082120475326,46.0,50.011663735304616,44.35895747098081,0.03394756086970912,48.005831867652304,0.10085129096316182,58.54107563582029
35,13009.3,11027.3,8749.4,14744.4,12529.4,10135.5,9846.4,8327.2,6688.7,13346.6,11229.6,9017.9,42.0,44.0,38.0,42.0,44.0,38.0,42.0,44.0,38.0,42.0,44.0,38.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,40.51281707153402,38.885513683908876,53.25133033155956,50.328670251018806,42.0,51.18441132519605,51.79000029128918,0.034585865834534345,46.592205662598026,0.3683106103630852,39.69916537772145
36,6593.2,6859.0,5656.7,7116.8,7241.6,5889.9,4723.5,4827.3,4011.9,6685.3,7013.5,5609.1,53.0,50.0,53.0,53.0,50.0,53.0,53.0,50.0,53.0,53.0,50.0,53.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],23.48538786740035,24.28613220614224,26.98812934916087,29.246789493510494,53.0,25.63822584271149,28.11745942133568,0.13533214013077152,39.319112921355746,0.4616125067285838,23.885760036771295
37,2556.3,1179.2,637.1,2850.3,1326.7,708.2,2156.5,1008.8,566.3,2984.9,1444.3,798.3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,High,High,High,High,High,High,Not Found,Not Found,High,High,High,High,Not Found,Not Found,High,High,High,Not Found,Not Found,Not Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],4.907931821232049,5.001277642451163,10.463774048301271,3.5166261429403107,2.0,11.447136301723113,6.990200095620791,0.6625377667603287,6.723568150861556,0.7718808411135031,4.954604731841606
38,5831.9,6154.8,3835.5,6455.9,6789.1,4328.1,5028.9,5343.0,3334.3,7721.2,8193.2,5094.2,34.0,33.0,30.0,34.0,33.0,30.0,34.0,33.0,30.0,34.0,33.0,30.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],25.99432962018521,28.37116110235469,23.871878837494886,21.49154138556899,34.0,29.610917891006228,22.681710111531938,0.1158620294470846,31.805458945503112,0.24142391228076732,27.18274536126995
39,37751.7,39174.8,27214.5,44445.3,45927.7,31865.1,37363.6,37818.2,26147.1,52484.9,53168.0,36724.2,35.0,35.0,34.0,35.0,36.0,34.0,35.0,36.0,34.0,35.0,36.0,34.0,High,High,High,High,Not Found,Not Found,Not Found,Not Found,High,High,High,Not Found,Not Found,Not Found,High,High,High,High,Not Found,Not Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],183.990034894645,184.10851602426328,154.53008595988538,158.22881065716928,35.0,201.28037926976026,156.37944830852734,0.042289379573392585,118.14018963488013,0.573272248112259,184.04927545945412
40,4630.3,5999.1,4095.2,5248.0,6705.0,4669.8,3620.8,4730.7,3210.8,4860.2,6249.5,4414.5,49.0,50.0,46.0,49.0,50.0,46.0,49.0,49.0,46.0,49.0,50.0,46.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,23.015417393638437,21.6405764913789,18.953336062218586,23.18828122324578,49.0,18.638939948954626,21.07080864273218,0.6590421041322944,33.819469974477315,0.5873917925449598,22.32799694250867
41,32430.2,32699.3,26495.5,35593.1,36404.2,29273.1,23405.8,23860.1,18861.1,32752.5,33004.0,26733.8,32.0,33.0,32.0,32.0,33.0,32.0,32.0,33.0,32.0,32.0,33.0,32.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,116.08222050731445,114.28523666236808,132.7474416700778,145.35801856100818,32.0,125.60632909718457,139.052730115543,0.15833590536584452,78.80316454859229,0.579331768302479,115.18372858484126
42,20599.7,17276.5,12494.9,24002.5,19793.3,14593.3,15888.4,13213.5,10043.9,21918.4,18055.3,13251.3,47.0,43.0,46.0,47.0,43.0,46.0,47.0,43.0,46.0,47.0,43.0,46.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],64.28524694671856,62.52133782299279,84.32132623823169,72.46424779973289,47.0,84.05739298324495,78.39278701898229,0.2335771635823545,65.52869649162247,0.9273093701509569,63.403292384855675
43,8535.9,9561.4,7640.1,9756.3,10902.5,8760.4,7826.5,8707.0,7040.3,12142.7,13849.3,10882.1,46.0,45.0,44.0,46.0,45.0,44.0,46.0,45.0,44.0,46.0,45.0,44.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,42.36058918266004,47.95693031475379,34.94023741301679,43.50049655833704,46.0,46.56743675531282,39.22036698567692,0.38135676798249674,46.28371837765641,0.7567142252265457,45.15875974870691
44,11428.6,11479.0,11662.2,13741.6,14027.7,14287.9,10488.9,10661.5,11128.9,15033.3,15090.3,15523.1,32.0,29.0,31.0,32.0,29.0,31.0,32.0,29.0,31.0,32.0,29.0,31.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,51.869463830358335,52.254226966614134,46.78100695865739,70.9477586384028,32.0,57.652931141644295,58.8643827985301,0.6735733543690511,44.82646557082215,0.6730272248330822,52.061845398486234
45,4262.4,4405.4,2504.8,4845.5,5076.6,2952.4,3210.8,3261.2,1882.0,4258.4,4408.3,2530.8,37.0,35.0,31.0,37.0,35.0,31.0,37.0,35.0,31.0,37.0,35.0,31.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],15.866125352301703,15.264925729569665,17.44740073679902,14.660388342864971,37.0,16.33102791626443,16.053894539831994,0.7860440065022944,26.665513958132216,0.4771709317412742,15.565525540935685
46,5578.7,4667.8,4245.1,6486.3,5363.2,4842.0,4688.6,3934.7,3562.3,6597.2,5549.6,4975.9,44.0,40.0,43.0,44.0,40.0,43.0,44.0,40.0,43.0,44.0,40.0,43.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,19.142782847939873,19.216984286191913,22.835448219402377,24.04335467963426,44.0,25.300361020378475,23.439401449518318,0.08864256902795109,34.65018051018924,0.34608098337872467,19.179883567065893
47,14382.2,16721.5,12367.2,17249.0,20282.1,15216.3,14542.6,17128.7,12994.2,21281.6,25025.5,18703.5,38.0,39.0,38.0,38.0,39.0,38.0,38.0,39.0,38.0,38.0,39.0,38.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,83.33315997852637,86.65753212017005,58.87106017191978,75.55780623951235,38.0,81.61525542522382,67.21443320571606,0.2694402999128288,59.80762771261191,0.4534991901676163,84.9953460493482
48,19617.8,19739.7,16174.5,16952.7,16927.3,14021.9,11933.2,11830.6,9837.8,18638.8,18604.1,15293.3,34.0,34.0,34.0,34.0,34.0,34.0,33.0,34.0,34.0,34.0,33.0,34.0,High,High,High,Not Found,Not Found,High,High,Not Found,Not Found,Not Found,Not Found,High,High,Not Found,Not Found,Not Found,Not Found,High,High,Not Found,Not Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,57.557274191383705,64.42170559296939,80.30208759721654,69.62691346186774,33.0,71.48007775823537,74.96450052954214,0.18001930003840697,52.240038879117684,0.7284480515794606,60.98948989217655
49,6810.9,6490.4,4215.8,5760.3,5512.0,3576.1,3991.1,3859.0,2480.8,6540.8,6448.1,4014.7,8.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,18.77449335659643,22.328282466446964,27.879246827670897,17.757422691003732,8.0,25.084066173845198,22.818334759337315,0.7340278223167851,16.5420330869226,0.7208488867084635,20.551387911521697
50,22070.7,23407.0,15923.4,23799.0,25077.4,17250.0,19108.7,20648.8,14203.0,26741.0,28856.2,19376.1,30.0,30.0,29.0,30.0,30.0,29.0,30.0,30.0,28.0,30.0,30.0,29.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,100.4588645819353,99.92236232507047,90.34261154318462,85.65631313996097,30.0,102.55213636784406,87.9994623415728,0.11706501138467598,66.27606818392204,0.5214056454326473,100.19061345350289
51,22544.8,26330.5,15682.1,27429.0,32302.2,19032.8,16740.6,19644.6,11835.1,21220.7,24819.1,14660.7,33.0,36.0,37.0,33.0,36.0,37.0,33.0,36.0,37.0,33.0,36.0,37.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,95.57331230707287,85.94281654487273,92.28325828898896,94.50895517276805,33.0,81.38170301114799,93.3961067308785,0.6808171583154368,57.190851505573995,0.39105934024916744,90.7580644259728
52,16070.9,16613.4,9561.1,16723.9,17417.5,10048.0,12266.8,13015.7,7486.1,17631.8,18301.2,10383.3,46.0,44.0,44.0,46.0,44.0,44.0,46.0,44.0,44.0,46.0,44.0,44.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,63.32292645282512,63.372832784066496,65.78346295538273,49.89418170610596,46.0,67.61821764371388,57.83882233074435,0.614014896623287,56.80910882185694,0.6536546997855142,63.34787961844581
53,10830.2,10701.4,8244.0,13287.2,13170.3,10309.6,10145.3,10145.2,8072.4,14021.8,13896.0,10883.2,39.0,38.0,33.0,39.0,38.0,33.0,39.0,38.0,33.0,39.0,38.0,33.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,49.357603006307876,48.11864163920333,44.3315595579206,51.19317831581111,39.0,53.77381345958026,47.762368936865855,0.8240520767299865,46.38690672979013,0.8038993804088657,48.7381223227556
54,27425.1,22827.0,14676.2,30671.8,25814.2,16799.5,23997.2,20180.1,13046.2,33847.2,28038.6,18040.4,40.0,38.0,39.0,40.0,38.0,39.0,40.0,37.0,39.0,40.0,38.0,39.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,98.17858341162258,97.09120217796247,112.25992632009824,83.41931783158111,40.0,129.80452002803528,97.83962207583969,0.9909637960701501,84.90226001401764,0.8240973243924615,97.63489279479253
55,7652.7,7537.7,6019.6,8581.9,8614.0,6798.7,6498.2,6420.8,5242.4,9933.7,9765.2,7675.7,52.0,52.0,49.0,52.0,52.0,49.0,52.0,52.0,49.0,52.0,52.0,49.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,31.23795463696148,33.81463437932847,31.32501023331969,33.75951166055957,52.0,38.095888599426075,32.54226094693963,0.9936326944413726,45.04794429971304,0.315023374373207,32.52629450814497
56,4309.9,5629.9,5184.2,4989.5,6451.7,5835.3,3547.0,4657.4,4249.4,4957.7,6619.4,6003.4,46.0,42.0,48.0,46.0,42.0,48.0,46.0,42.0,48.0,46.0,42.0,48.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,22.658804187357397,22.921454840712617,17.641833810888254,28.975668641484884,46.0,19.012853912376517,23.30875122618657,0.94190342050377,32.50642695618826,0.6027016670009409,22.79012951403501
57,10645.6,8426.2,6693.2,12492.4,10028.4,7808.2,8303.5,6685.8,5270.9,11845.4,9406.8,7375.0,36.0,32.0,32.0,36.0,32.0,32.0,36.0,32.0,32.0,36.0,32.0,32.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,32.52721111260234,32.5735778764866,43.5759312320917,38.7722680730112,36.0,45.427286793001755,41.17409965255145,0.1728967581428047,40.71364339650088,0.33336218210354274,32.55039449454447
58,12212.5,12778.7,8683.1,14244.5,14843.9,9906.8,12478.6,13124.6,8767.9,15693.1,16554.8,10984.4,40.0,42.0,41.0,40.0,42.0,41.0,40.0,42.0,41.0,40.0,42.0,41.0,High,High,High,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,63.85273788753187,57.32545254812056,49.9897666803111,49.193041334200885,40.0,60.1832740448829,49.59140400725599,0.17915638137462683,50.09163702244145,0.47959392155169134,60.58909521782621
59,4157.0,4895.1,3110.7,4524.7,5419.2,3470.6,3242.1,3818.5,2474.6,4453.2,5240.2,3378.9,40.0,39.0,39.0,40.0,39.0,39.0,40.0,39.0,39.0,40.0,39.0,39.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,18.577456046168297,18.145603477097964,17.015963978714698,17.233553645423104,40.0,17.07808884010632,17.1247588120689,0.06505950671497725,28.53904442005316,0.5376869894947693,18.36152976163313
60,46.1,0.0,7.4,51.4,0.0,6.3,56.9,0.0,1.2,66.6,0.0,6.7,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,High,Not Found,High,High,Not Found,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,High,Not Found,High,High,Not Found,High,High,Not Found,High,High,Not Found,High,High,High,High,High,0.0,0.0,0.0,0.18870241506344662,0.031283175233724876,1.0,0.25541199962972266,0.10999279514858575,0.39541208723822746,0.6277059998148613,0.34080317503412155,0.0
61,5694.5,6200.4,4113.4,6744.4,7393.6,5000.5,5359.0,5833.8,3898.8,7610.3,8472.6,5710.6,33.0,36.0,33.0,33.0,36.0,33.0,33.0,36.0,32.0,33.0,36.0,33.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,28.38212991544759,29.338658833643795,23.309455587392552,24.830399643847816,33.0,29.185614726457636,24.069927615620184,0.047668230267185294,31.092807363228818,0.44284970135369517,28.86039437454569
62,4470.0,4623.5,2448.7,4827.6,5023.0,2728.2,3419.9,3519.8,1900.2,5076.6,5163.7,2834.3,30.0,38.0,28.0,30.0,38.0,28.0,30.0,38.0,28.0,30.0,38.0,28.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,17.124245067776137,17.88070162869561,18.297175603765865,13.547104551214,30.0,19.468837197000756,15.922140077489932,0.6255515538250169,24.734418598500376,0.3997313106411738,17.502473348235874
63,18319.1,16520.1,14992.3,19484.1,17506.3,15973.2,15061.2,13893.5,12562.8,20958.4,19164.1,17370.3,35.0,39.0,39.0,35.0,39.0,39.0,35.0,39.0,39.0,35.0,39.0,39.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,67.59352771440075,66.36085637865979,74.9860826852231,79.31625629259273,35.0,80.37577857416788,77.15116948890791,0.11242637404891467,57.68788928708394,0.7526023299431629,66.97719204653026
64,6407.8,7546.9,4354.5,7517.4,8911.9,5129.1,5078.1,6043.4,3428.9,6570.0,7959.6,4485.7,43.0,47.0,38.0,43.0,47.0,38.0,43.0,47.0,38.0,43.0,47.0,38.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,29.401858810897863,27.562258203180978,26.22922636103152,25.46897366528544,43.0,25.19604861212129,25.84910001315848,0.1770018508860632,34.098024306060644,0.6414491024383204,28.48205850703942
65,11380.6,13729.0,8788.0,12614.8,15368.3,9798.3,9097.4,11298.5,7061.5,13242.4,15996.5,10083.0,37.0,38.0,36.0,37.0,38.0,36.0,37.0,38.0,36.0,37.0,38.0,36.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,54.96854449067239,55.39218847017243,46.58452722063038,48.654275538508955,37.0,50.784802761210805,47.619401379569666,0.07625884248827319,43.892401380605406,0.348771171705141,55.18036648042241
66,20649.2,18730.9,13728.8,23171.4,20980.0,15486.9,15577.3,14103.5,10368.3,23319.0,20641.8,15104.3,27.0,30.0,28.0,27.0,30.0,28.0,27.0,30.0,28.0,27.0,30.0,28.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,68.61520265736142,71.47779051440035,84.52394596807206,76.90149309955139,27.0,89.42871500548804,80.71271953381172,0.18630673333847275,58.21435750274402,0.7693512624152655,70.04649658588089
67,32327.1,32414.1,19735.0,40938.2,40872.8,25189.4,29635.2,29245.7,18084.4,41532.7,41226.0,25400.6,30.0,30.0,29.0,31.0,30.0,29.0,31.0,30.0,29.0,31.0,30.0,29.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],142.2838041873574,142.7561255194154,132.32541956610726,125.08006575117292,31.0,159.27852788320394,128.7027426586401,0.16192579959597436,95.13926394160197,0.5949562874328346,142.5199648533864
68,5513.2,6496.9,5957.0,6274.6,7449.9,6833.0,4119.7,4814.7,4589.5,5393.3,6315.3,5923.5,27.0,35.0,33.0,27.0,35.0,33.0,27.0,35.0,33.0,27.0,35.0,33.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],23.424087370822708,21.868426708697523,22.56733524355301,33.92983117016541,27.0,20.68338645049525,28.24858320685921,0.5026678113328137,23.841693225247624,0.7704957763597737,22.646257039760116
69,5825.9,6214.9,2826.1,6186.0,6486.9,3030.3,4312.4,4728.0,2130.1,5955.9,6323.4,2863.6,49.0,39.0,31.0,49.0,39.0,31.0,49.0,39.0,31.0,49.0,39.0,31.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],23.00228157294323,21.89647513970483,23.84731887024151,15.047207287421665,49.0,22.840965894814794,19.447263078831586,0.6183200556570514,35.92048294740739,0.4904121245746124,22.44937835632403
70,6365.5,6727.9,4211.7,7803.8,8305.4,5254.4,5500.1,5831.7,3700.7,6758.6,7119.1,4464.6,39.0,36.0,37.0,39.0,36.0,37.0,39.0,36.0,37.0,39.0,36.0,37.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,28.371913166017983,24.65180064001529,26.056078591895215,26.09116126160063,39.0,25.91933244290456,26.073619926747924,0.8526971370426806,32.45966622145228,0.5255068191832655,26.511856903016636
71,7084.7,7842.9,4546.4,7943.4,8757.7,5188.7,5364.0,5959.8,3494.7,7305.9,8173.2,4627.7,40.0,40.0,39.0,40.0,40.0,39.0,40.0,40.0,39.0,40.0,40.0,39.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,28.995134881223997,28.301905717151456,29.000000000000004,25.764922434163214,40.0,28.018236157579445,27.38246121708161,0.5752207375858127,34.009118078789726,0.535040530067167,28.648520299187727
72,18514.6,18743.6,11041.5,21355.2,21896.4,13108.5,15810.0,16610.9,9955.9,22707.6,23591.7,13979.1,35.0,37.0,38.0,35.0,37.0,38.0,35.0,37.0,38.0,35.0,37.0,38.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,80.8140014763119,81.69261355495058,75.78632828489562,65.09134961131468,35.0,87.08398682870707,70.43883894810514,0.2906053500492136,61.041993414353534,0.5798151045165085,81.25330751563123
73,29097.6,28320.4,19226.3,32213.6,31480.7,21635.4,21621.6,21112.2,14413.0,28561.7,27865.5,18875.8,34.0,34.0,32.0,34.0,34.0,32.0,34.0,34.0,32.0,34.0,34.0,32.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],102.7133606227352,96.49179681902852,119.10601719197709,107.43238245265574,34.0,109.53454819555932,113.26919982231641,0.21290836164021323,71.76727409777966,0.5953452712782257,99.60257872088187
74,6978.3,8539.8,4227.1,7748.2,9261.5,4635.6,5221.8,6386.7,3094.5,7254.3,8877.7,4294.7,35.0,36.0,36.0,35.0,36.0,36.0,35.0,36.0,36.0,35.0,36.0,36.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Not Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,31.07205408669977,30.741426660935193,28.564469914040117,23.01845827197699,35.0,27.820349383091553,25.791464093008553,0.31538259211303393,31.410174691545777,0.9113185464708636,30.90674037381748
