,Abundance: F1: 128C  Sample  1  C,Abundance: F2: 128C  Sample  2  C,Abundance: F3: 128C  Sample  3  C,Abundance: F1: 12       9C  Sample  1  A,Abundance: F2: 129C  Sample  2  A,Abundance: F3: 129C  Sample  3  A,Abundance: F1: 130C  Sample  1  AB,Abundance: F2: 130C  Sample  2  AB,Abundance: F3: 130C  Sample  3  AB,Abundance: F1: 131  Sample  1  B,Abundance: F2: 131  Sample  2  B,Abundance: F3: 131  Sample  3  B,Abundances Count: F1: 128C  Sample  1  C,Abundances Count: F2: 128C  Sample  2  C,Abundances Count: F3: 128C  Sample  3  C,Abundances Count: F1: 129C  Sample  1  A,Abundances Count: F2: 129C  Sample  2  A,Abundances Count: F3: 129C  Sample  3  A,Abundances Count: F1: 130C  Sample  1  AB,Abundances Count: F2: 130C  Sample  2  AB,Abundances Count: F3: 130C  Sample  3  AB,Abundances Count: F1: 131  Sample  1  B,Abundances Count: F2: 131  Sample  2  B,Abundances Count: F3: 131  Sample  3  B,Found in File: [F1],Found in File: [F2],Found in File: [F3],Found in Fraction: F1.1,Found in Fraction: F1.2,Found in Fraction: F1.3,Found in Fraction: F1.4,Found in Fraction: F1.5,Found in Fraction: F1.6,Found in Fraction: F2.1,Found in Fraction: F2.2,Found in Fraction: F2.3,Found in Fraction: F2.4,Found in Fraction: F2.5,Found in Fraction: F2.6,Found in Fraction: F3.1,Found in Fraction: F3.2,Found in Fraction: F3.3,Found in Fraction: F3.4,Found in Fraction: F3.5,Found in Fraction: F3.6,Found in Sample: [S1] F1: 128C  Sample  1  C,Found in Sample: [S5] F2: 128C  Sample  2  C,Found in Sample: [S9] F3: 128C  Sample  3  C,Found in Sample: [S2] F1: 129C  Sample  1  A,Found in Sample: [S6] F2: 129C  Sample  2  A,Found in Sample: [S10] F3: 129C  Sample  3  A,Found in Sample: [S3] F1: 130C  Sample  1  AB,Found in Sample: [S7] F2: 130C  Sample  2  AB,Found in Sample: [S11] F3: 130C  Sample  3  AB,Found in Sample: [S4] F1: 131  Sample  1  B,Found in Sample: [S8] F2: 131  Sample  2  B,Found in Sample: [S12] F3: 131  Sample  3  B,Found in Sample Group: C,Found in Sample Group: A,Found in Sample Group: AB,Found in Sample Group: B,Modifications,normalized Abundance: F2: 131  Sample  2  B,normalized Abundance: F3: 129C  Sample  3  A,normalized Abundance: F1: 128C  Sample  1  C,normalized Abundance: F1: 131  Sample  1  B,normalized Abundance: F2: 128C  Sample  2  C,normalized Abundance: F2: 130C  Sample  2  AB,average_normalized : F1: 1,P VALUE of : F1: 1,average_normalized : F2: 1,P VALUE of : F2: 1,average_normalized_of_CONTROL
10,11361.7,11245.5,7284.5,12400.0,12274.9,7862.8,8611.4,8601.4,5527.7,12027.3,11846.2,7676.3,71.0,72.0,62.0,71.0,72.0,61.0,71.0,72.0,62.0,71.0,72.0,62.0,High,Not Found,Not Found,Not Found,Not Found,High,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,High,Not Found,Not Found,High,Not Found,Not Found,High,Not Found,Not Found,High,High,High,High,0.0,8260.994559870087,7862.8,9365.901215294933,9288.913825890319,8563.60104052574,8427.374895987115,9327.407520592626,0.08954632671138892,8495.487968256428,0.24909286935432984,8061.897279935043
11,15802.5,15691.7,9313.7,18338.4,18502.7,10912.3,11632.9,11549.7,6898.9,15884.3,15660.3,9238.0,71.0,66.0,67.0,71.0,66.0,67.0,71.0,66.0,67.0,71.0,66.0,67.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],10920.772324115202,10912.3,13026.62928564371,12267.748695433687,11949.442750221666,11316.02434908066,12647.1889905387,0.13736463068087384,11632.733549651162,0.2650107964278454,10916.5361620576
12,10399.1,10299.8,6395.5,12953.6,12981.1,8041.2,9245.3,8951.1,5587.6,12222.7,12203.7,7498.1,66.0,68.0,76.0,66.0,68.0,76.0,66.0,68.0,76.0,66.0,68.0,76.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,8510.298602951712,8041.2,8572.3917484156,9439.824983139159,7843.43764147499,8769.999701382365,9006.10836577738,0.3105078508822429,8306.718671428678,0.959471994416403,8275.749301475857
13,0.0,36.4,0.0,0.0,34.5,0.0,0.0,28.0,0.0,0.0,39.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,High,Not Found,Not Found,High,Not Found,Not Found,High,Not Found,High,High,High,High,0.0,27.475746286478483,0.0,0.0,0.0,27.719094560058416,27.433498859213525,0.0,0.49999999999999956,27.57629670963597,0.49766714209345014,13.737873143239241
14,10848.9,11637.9,6489.7,12125.1,13067.1,7459.1,8281.8,9005.5,4960.1,12945.7,14088.0,7635.4,66.0,66.0,57.0,66.0,66.0,57.0,65.0,66.0,57.0,66.0,66.0,57.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,9824.322682332713,7459.1,8943.179778960295,9998.211711342388,8862.418971991863,8823.29907059455,9470.69574515134,0.6116189407123336,8842.859021293207,0.8927480044323484,8641.711341166356
15,47544.0,45960.7,32028.0,51170.7,49522.3,34297.2,32612.8,31477.4,21856.2,46753.4,45357.0,31513.0,54.0,52.0,52.0,54.0,52.0,52.0,54.0,52.0,52.0,54.0,52.0,52.0,High,High,High,Not Found,High,High,High,Not Found,High,Not Found,High,High,High,Not Found,High,Not Found,High,High,High,Not Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],31629.883865883363,34297.2,39192.41023614267,36108.545032333146,34999.69750951859,30840.54346396457,37650.477634237905,0.1508647612168752,32920.12048674158,0.987813095797949,32963.541932941676
16,7436.6,8251.3,6393.8,8779.2,9671.7,7734.0,5881.6,6516.2,5202.0,7562.4,8374.8,6571.0,72.0,73.0,71.0,72.0,73.0,71.0,72.0,73.0,71.0,72.0,73.0,71.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],5840.2,7734.0,6130.285166626674,5840.586159563072,6283.47705888489,6384.363045228827,5985.435663094873,0.5512696316611727,6333.920052056858,0.7158215614379331,6787.1
17,23653.2,25637.1,15637.3,26786.2,28750.7,17540.5,21650.1,23636.1,14088.6,31342.6,34395.4,20510.5,64.0,65.0,62.0,64.0,65.0,62.0,64.0,65.0,62.0,64.0,65.0,62.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,23985.768624922388,17540.5,19498.273552867446,24206.489443129372,19522.999976529492,23157.890085223455,21852.38149799841,0.8125733110946876,21340.44503087647,0.8936074377335792,20763.134312461196
18,45278.0,51448.4,29157.3,55562.7,62694.4,36021.2,42912.2,48981.1,28018.0,60814.8,69028.7,39105.4,66.0,64.0,68.0,66.0,64.0,68.0,66.0,64.0,68.0,66.0,64.0,68.0,High,High,High,High,High,High,High,High,High,High,High,High,High,Not Found,High,High,High,High,High,Not Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,48137.43775851363,36021.2,37324.45630725366,46968.43319271612,39178.65561988213,47990.105391893696,42146.44474998489,0.9939048017069215,43584.38050588791,0.8608812209727751,42079.31887925681
19,33973.0,34088.1,24367.7,39006.2,39258.7,28245.7,31710.8,32312.0,23105.9,39361.2,40487.4,28850.3,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,28234.048989826624,28245.7,28005.295157169676,30399.40758804004,25958.5512987013,31658.257683532407,29202.35137260486,0.5688812907249379,28808.404491116853,0.8746436027363282,28239.87449491331
20,376.5,449.9,109.7,439.1,536.5,130.9,309.7,377.0,89.6,393.5,528.7,112.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,High,High,High,High,High,Not Found,Not Found,Not Found,High,High,High,Not Found,Not Found,Not Found,High,High,Not Found,Not Found,Not Found,Not Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,368.6910421741415,130.9,310.36392507798496,303.90757613827213,342.6049627079747,369.3724667829821,307.13575060812855,0.7139220142151463,355.98871474547843,0.5349088364457228,249.79552108707077
21,19559.6,20896.3,17171.8,23358.5,25130.3,20818.5,15776.9,17068.0,14063.4,20616.7,22085.1,18161.8,64.0,61.0,66.0,64.0,61.0,66.0,64.0,61.0,66.0,64.0,61.0,66.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],15401.132089124516,20818.5,16123.756252205456,15922.671728004867,15912.81636415793,16722.677090323446,16023.213990105161,0.5820537096287656,16317.746727240688,0.6273065982348174,18109.816044562256
22,10950.4,10615.2,5948.8,12323.7,12143.0,6714.6,8111.4,7985.2,4500.5,11085.5,10784.5,5986.6,48.0,52.0,46.0,48.0,52.0,46.0,48.0,52.0,46.0,48.0,52.0,46.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,7520.613853465157,6714.6,9026.850266066313,8561.543672886444,8083.619026756377,7823.641967521137,8794.19696947638,0.09520624441607697,7953.630497138757,0.2638837152093109,7117.606926732578
23,38778.9,40186.9,30884.7,44353.5,45992.1,35739.6,28827.1,29958.9,23045.2,37926.4,39115.9,30058.2,56.0,53.0,52.0,56.0,53.0,52.0,55.0,53.0,52.0,56.0,53.0,52.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,27277.628024549842,35739.6,31966.989679167786,29291.284105846415,30602.87036196735,29352.766034760432,30629.1368925071,0.8711518049724838,29977.818198363893,0.7792271986825712,31508.61401227492
24,34845.7,36764.4,24766.2,40185.7,42485.2,28410.8,25865.2,27279.2,18309.0,32369.0,34448.0,23067.1,57.0,60.0,57.0,57.0,60.0,57.0,57.0,60.0,57.0,57.0,60.0,57.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,24022.449443568803,28410.8,28724.696478326532,24999.19779420516,27996.590111093727,26727.282217152057,26861.947136265844,0.8439007954392526,27361.93616412289,0.6942392388363331,26216.6247217844
25,1215.4,134.2,164.8,1290.2,136.6,160.9,908.7,91.6,108.9,1246.1,136.6,154.6,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,High,High,High,High,Not Found,High,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,High,Not Found,Not Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],95.25855184601423,160.9,1001.9025618586533,962.3868630899641,102.19512335054503,89.74673198228425,982.1447124743087,0.004954040467841736,95.97092766641464,0.5038532695462379,128.07927592300712
26,25863.7,25332.5,17119.8,28364.0,27917.7,18803.3,19174.2,18988.5,13157.2,27206.3,27045.1,18295.7,52.0,56.0,53.0,52.0,56.0,53.0,52.0,56.0,53.0,52.0,56.0,53.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],18860.00776376749,18803.3,21320.476624274845,21011.945841653553,19291.04293798571,18604.321181720574,21166.211232964197,0.036106011414167756,18947.68205985314,0.7926128266875303,18831.653881883743
27,36624.0,37400.3,27326.7,38627.9,38733.5,28875.4,32509.4,32957.2,24839.4,42719.1,43357.9,32139.0,60.0,59.0,59.0,60.0,59.0,59.0,60.0,59.0,59.0,60.0,59.0,59.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,30235.80355112958,28875.4,30190.619899219444,32992.77798172417,28480.836600949253,32290.403878674,31591.698940471804,0.3609391950168169,30385.620239811626,0.7407292350618253,29555.60177556479
28,37067.9,36417.7,28886.1,42424.7,41279.9,32681.3,27191.2,26463.7,20821.7,37092.7,36396.1,28575.4,51.0,52.0,51.0,51.0,52.0,51.0,51.0,51.0,51.0,51.0,52.0,51.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,25380.96470602283,32681.3,30556.544325094925,28647.40165037887,27732.573350545037,25928.281562877462,29601.972987736895,0.9020773139958396,26830.42745671125,0.6540941314400117,29031.132353011417
29,7719.0,7834.6,7124.9,8422.4,8572.5,7745.5,5639.9,5650.7,5333.6,7561.9,7638.6,6957.5,57.0,60.0,64.0,57.0,60.0,64.0,57.0,60.0,64.0,57.0,60.0,64.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],5326.808009743517,7745.5,6363.078718929524,5840.2,5966.154347259167,5536.374000134209,6101.639359464762,0.7810353008548412,5751.264173696688,0.6328058905790248,6536.154004871758
30,10493.6,11888.6,7480.3,12352.2,13942.2,8894.8,8864.0,10031.1,6490.8,12814.4,14261.4,8914.0,46.0,45.0,49.0,46.0,45.0,49.0,46.0,45.0,49.0,46.0,45.0,49.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,9945.243860151884,8894.8,8650.291857100512,9896.806210079478,9053.330428206333,9828.148943094886,9273.549033589996,0.8743590930100349,9440.73968565061,0.9777790824716788,9420.021930075942
31,50868.9,52993.8,40368.5,56049.4,58781.1,44674.7,38568.0,40547.5,31127.9,55483.2,58408.4,44228.6,41.0,43.0,43.0,41.0,43.0,43.0,41.0,43.0,43.0,41.0,43.0,43.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,40731.32942637436,44674.7,41933.257552189934,42850.73653975852,40355.49871694571,39727.135535498586,42391.99704597423,0.9010386578291714,40041.317126222144,0.40172074888746423,42703.01471318718
32,8746.4,7896.8,4343.2,9136.6,7852.2,4466.0,6565.4,5690.6,3166.1,8966.4,7841.0,4310.5,62.0,57.0,47.0,62.0,57.0,47.0,61.0,57.0,47.0,62.0,57.0,46.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,5467.952452595883,4466.0,7210.005403192796,6924.9222126714185,6013.520492359047,5575.46673600859,7067.463807932107,0.1276552763968477,5794.493614183819,0.32053713015908525,4966.976226297942
33,10226.2,13608.0,8849.6,11787.2,15565.2,9905.5,7810.5,10186.3,6595.5,10005.8,13173.6,8516.0,32.0,32.0,30.0,32.0,32.0,30.0,32.0,32.0,30.0,32.0,32.0,30.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],9186.66221521708,9905.5,8429.863401414315,7727.670712387098,10362.676889375685,9980.20890820024,8078.767056900707,0.1000426477477047,10171.442898787962,0.3000280462081046,9546.081107608541
34,11163.8,14344.9,8730.1,11367.0,14320.3,8663.8,9531.9,12144.6,7585.4,13040.8,16748.8,10167.3,46.0,45.0,43.0,46.0,45.0,43.0,46.0,45.0,43.0,46.0,45.0,43.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,11679.84211682667,8663.8,9202.764373932558,10071.659260238828,10923.836251499504,11898.888223057307,9637.211817085692,0.7845281192749052,11411.362237278405,0.5583941661128864,10171.821058413334
35,13009.3,11027.3,8749.4,14744.4,12529.4,10135.5,9846.4,8327.2,6688.7,13346.6,11229.6,9017.9,42.0,44.0,38.0,42.0,44.0,38.0,42.0,44.0,38.0,42.0,44.0,38.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,7831.006104026365,10135.5,10724.083427668073,10307.834449014137,8397.43877588275,8158.722560730103,10515.958938341104,0.4052582905302452,8278.080668306427,0.6501498316514115,8983.253052013182
36,6593.2,6859.0,5656.7,7116.8,7241.6,5889.9,4723.5,4827.3,4011.9,6685.3,7013.5,5609.1,53.0,50.0,53.0,53.0,50.0,53.0,53.0,50.0,53.0,53.0,50.0,53.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],4890.892045183168,5889.9,5435.03700086101,5163.185054020815,5223.221691962656,4729.633180110052,5299.111027440913,0.8859574112759201,4976.427436036354,0.5584088586057563,5390.3960225915835
37,2556.3,1179.2,637.1,2850.3,1326.7,708.2,2156.5,1008.8,566.3,2984.9,1444.3,798.3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,High,High,High,High,High,High,Not Found,Not Found,High,High,High,High,Not Found,Not Found,High,High,High,Not Found,Not Found,Not Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],1007.1883340497683,708.2,2107.259765409968,2305.2953596318384,897.9768215720023,988.3897731848073,2206.2775625209033,0.025164431036119157,943.1832973784049,0.6694399433452081,857.6941670248841
38,5831.9,6154.8,3835.5,6455.9,6789.1,4328.1,5028.9,5343.0,3334.3,7721.2,8193.2,5094.2,34.0,33.0,30.0,34.0,33.0,30.0,34.0,33.0,30.0,34.0,33.0,30.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],5713.560519654201,4328.1,4807.467130577159,5963.2304367949855,4686.96382412768,5234.899443027781,5385.348783686072,0.7263797916729766,4960.93163357773,0.9464504054361222,5020.8302598271
