,Abundance: F1: 128C  Sample  1  C,Abundance: F2: 128C  Sample  2  C,Abundance: F3: 128C  Sample  3  C,Abundance: F1: 12       9C  Sample  1  A,Abundance: F2: 129C  Sample  2  A,Abundance: F3: 129C  Sample  3  A,Abundance: F1: 130C  Sample  1  AB,Abundance: F2: 130C  Sample  2  AB,Abundance: F3: 130C  Sample  3  AB,Abundance: F1: 131  Sample  1  B,Abundance: F2: 131  Sample  2  B,Abundance: F3: 131  Sample  3  B,Abundances Count: F1: 128C  Sample  1  C,Abundances Count: F2: 128C  Sample  2  C,Abundances Count: F3: 128C  Sample  3  C,Abundances Count: F1: 129C  Sample  1  A,Abundances Count: F2: 129C  Sample  2  A,Abundances Count: F3: 129C  Sample  3  A,Abundances Count: F1: 130C  Sample  1  AB,Abundances Count: F2: 130C  Sample  2  AB,Abundances Count: F3: 130C  Sample  3  AB,Abundances Count: F1: 131  Sample  1  B,Abundances Count: F2: 131  Sample  2  B,Abundances Count: F3: 131  Sample  3  B,Found in File: [F1],Found in File: [F2],Found in File: [F3],Found in Fraction: F1.1,Found in Fraction: F1.2,Found in Fraction: F1.3,Found in Fraction: F1.4,Found in Fraction: F1.5,Found in Fraction: F1.6,Found in Fraction: F2.1,Found in Fraction: F2.2,Found in Fraction: F2.3,Found in Fraction: F2.4,Found in Fraction: F2.5,Found in Fraction: F2.6,Found in Fraction: F3.1,Found in Fraction: F3.2,Found in Fraction: F3.3,Found in Fraction: F3.4,Found in Fraction: F3.5,Found in Fraction: F3.6,Found in Sample: [S1] F1: 128C  Sample  1  C,Found in Sample: [S5] F2: 128C  Sample  2  C,Found in Sample: [S9] F3: 128C  Sample  3  C,Found in Sample: [S2] F1: 129C  Sample  1  A,Found in Sample: [S6] F2: 129C  Sample  2  A,Found in Sample: [S10] F3: 129C  Sample  3  A,Found in Sample: [S3] F1: 130C  Sample  1  AB,Found in Sample: [S7] F2: 130C  Sample  2  AB,Found in Sample: [S11] F3: 130C  Sample  3  AB,Found in Sample: [S4] F1: 131  Sample  1  B,Found in Sample: [S8] F2: 131  Sample  2  B,Found in Sample: [S12] F3: 131  Sample  3  B,Found in Sample Group: C,Found in Sample Group: A,Found in Sample Group: AB,Found in Sample Group: B,Modifications,normalized Abundance: F2: 129C  Sample  2  A,normalized Abundance: F2: 130C  Sample  2  AB,normalized Abundance: F1: 130C  Sample  1  AB,normalized Abundance: F3: 129C  Sample  3  A,normalized Abundance: F3: 130C  Sample  3  AB,normalized Abundances Count: F1: 128C  Sample  1  C,average_normalized : F,P VALUE of : F,average_normalized ,P VALUE of ,average_normalized_of_CONTROL
10,11361.7,11245.5,7284.5,12400.0,12274.9,7862.8,8611.4,8601.4,5527.7,12027.3,11846.2,7676.3,71.0,72.0,62.0,71.0,72.0,61.0,71.0,72.0,62.0,71.0,72.0,62.0,High,Not Found,Not Found,Not Found,Not Found,High,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,High,Not Found,Not Found,High,Not Found,Not Found,High,Not Found,Not Found,High,High,High,High,0.0,41.51762304641941,41.8468326399141,46.320176577512335,39.043388925036815,37.728188472310485,71.0,42.681782751274575,0.8293397427919582,54.36409423615524,0.5853396876093537,41.68222784316676
11,15802.5,15691.7,9313.7,18338.4,18502.7,10912.3,11632.9,11549.7,6898.9,15884.3,15660.3,9238.0,71.0,66.0,67.0,71.0,66.0,67.0,71.0,66.0,67.0,71.0,66.0,67.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],62.5820270585491,56.1906623272044,62.57263419519976,54.18593541317078,47.08703429122832,71.0,58.379284804185275,0.8672378328300396,59.04351714561416,0.9819314562472831,59.38634469287675
12,10399.1,10299.8,6395.5,12953.6,12981.1,8041.2,9245.3,8951.1,5587.6,12222.7,12203.7,7498.1,66.0,68.0,76.0,66.0,68.0,76.0,66.0,68.0,76.0,66.0,68.0,76.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,43.90621646839281,43.54816467588243,49.72988463107912,39.929248998321974,38.13702370025184,66.0,44.82956681470055,0.8591464556338809,52.068511850125915,0.6565455563609457,43.72719057213762
13,0.0,36.4,0.0,0.0,34.5,0.0,0.0,28.0,0.0,0.0,39.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,High,Not Found,Not Found,High,Not Found,Not Found,High,Not Found,High,High,High,High,0.0,0.11668999300209937,0.13622332572809018,0.0,0.0,0.0,0.0,0.0,0.049070837966882136,0.0,0.049070837966882136,0.12645665936509476
14,10848.9,11637.9,6489.7,12125.1,13067.1,7459.1,8281.8,9005.5,4960.1,12945.7,14088.0,7635.4,66.0,66.0,57.0,66.0,66.0,57.0,65.0,66.0,57.0,66.0,66.0,57.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,44.19709587123863,43.812827137297006,44.54727899988871,37.03878291839321,33.85415048600815,66.0,40.793030959140964,0.5492711007455038,49.927075243004076,0.7752626595380829,44.00496150426782
15,47544.0,45960.7,32028.0,51170.7,49522.3,34297.2,32612.8,31477.4,21856.2,46753.4,45357.0,31513.0,54.0,52.0,52.0,54.0,52.0,52.0,54.0,52.0,52.0,54.0,52.0,52.0,High,High,High,Not Found,High,High,High,Not Found,High,Not Found,High,High,High,Not Found,High,Not Found,High,High,High,Not Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],167.5001982738512,153.1412897597638,175.42219089661313,170.3056059723982,149.17503353809224,54.0,172.86389843450567,0.30904419167555935,101.58751676904612,0.43022267329147207,160.3207440168075
16,7436.6,8251.3,6393.8,8779.2,9671.7,7734.0,5881.6,6516.2,5202.0,7562.4,8374.8,6571.0,72.0,73.0,71.0,72.0,73.0,71.0,72.0,73.0,71.0,72.0,73.0,71.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],32.71277116864941,31.702086968192187,31.636754831769117,38.40382178692511,35.50518957847914,72.0,35.02028830934711,0.557113307669401,53.752594789239566,0.44725099157980913,32.2074290684208
17,23653.2,25637.1,15637.3,26786.2,28750.7,17540.5,21650.1,23636.1,14088.6,31342.6,34395.4,20510.5,64.0,65.0,62.0,64.0,65.0,62.0,64.0,65.0,62.0,64.0,65.0,62.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,97.24402845812924,114.99243390148972,116.45452016173905,87.09881510907161,96.1588646473205,64.0,101.77666763540533,0.8282048579301803,80.07943232366026,0.32341814190924045,106.11823117980947
18,45278.0,51448.4,29157.3,55562.7,62694.4,36021.2,42912.2,48981.1,28018.0,60814.8,69028.7,39105.4,66.0,64.0,68.0,66.0,64.0,68.0,66.0,64.0,68.0,66.0,64.0,68.0,High,High,High,High,High,High,High,High,High,High,High,High,High,Not Found,High,High,High,High,High,Not Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,212.05243760205272,238.29886927929135,230.82201283525615,178.86627170302387,191.2311421779755,66.0,204.84414226914,0.5781921580067038,128.61557108898774,0.3581020656167132,225.17565344067202
19,33973.0,34088.1,24367.7,39006.2,39258.7,28245.7,31710.8,32312.0,23105.9,39361.2,40487.4,28850.3,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,132.78543270352228,157.20171789021606,170.57038988017953,140.25637820622583,157.70460589799717,61.0,155.41338404320268,0.6480677336576011,109.35230294899858,0.5937074113668092,144.99357529686915
