,Expression (by Bio. Rep.): Sample- A,Expression (by Bio. Rep.): Sample- B,Expression (by Bio. Rep.): Sample- C,overall
142,Non Significant,Non Significant,Non Significant,True
143,Non Significant,Non Significant,Non Significant,True
144,Non Significant,Non Significant,Non Significant,True
145,Non Significant,Non Significant,Non Significant,True
146,Non Significant,Non Significant,Non Significant,True
147,Non Significant,Non Significant,Non Significant,True
148,Non Significant,Non Significant,Non Significant,True
149,Non Significant,Non Significant,Non Significant,True
150,Non Significant,Non Significant,Non Significant,True
151,Non Significant,Non Significant,Non Significant,True
152,Non Significant,Non Significant,Non Significant,True
153,Non Significant,Non Significant,Non Significant,True
154,Non Significant,Non Significant,Non Significant,True
155,Non Significant,Non Significant,Non Significant,True
156,Non Significant,Non Significant,Upregulated,False
157,Non Significant,Non Significant,Non Significant,True
158,Non Significant,Non Significant,Non Significant,True
159,Non Significant,Downregulated,Non Significant,False
160,Non Significant,Non Significant,Non Significant,True
161,Non Significant,Non Significant,Non Significant,True
162,Non Significant,Non Significant,Non Significant,True
163,Non Significant,Non Significant,Non Significant,True
164,Non Significant,Non Significant,Non Significant,True
165,Non Significant,Non Significant,Non Significant,True
166,Non Significant,Non Significant,Non Significant,True
167,Non Significant,Non Significant,Non Significant,True
168,Non Significant,Non Significant,Non Significant,True
169,Non Significant,Non Significant,Non Significant,True
170,Non Significant,Non Significant,Non Significant,True
171,Non Significant,Non Significant,Non Significant,True
172,Non Significant,Upregulated,Upregulated,False
173,Non Significant,Non Significant,Non Significant,True
174,Non Significant,Non Significant,Non Significant,True
175,Non Significant,Non Significant,Non Significant,True
176,Non Significant,Non Significant,Non Significant,True
177,Non Significant,Non Significant,Non Significant,True
178,Non Significant,Non Significant,Non Significant,True
179,Non Significant,Non Significant,Non Significant,True
180,Non Significant,Non Significant,Non Significant,True
181,Downregulated,Non Significant,Upregulated,False
182,Non Significant,Non Significant,Non Significant,True
183,Non Significant,Non Significant,Non Significant,True
184,Non Significant,Non Significant,Non Significant,True
185,Non Significant,Non Significant,Non Significant,True
186,Non Significant,Non Significant,Non Significant,True
187,Non Significant,Non Significant,Non Significant,True
188,Non Significant,Non Significant,Non Significant,True
189,Non Significant,Non Significant,Non Significant,True
190,Non Significant,Non Significant,Non Significant,True
191,Non Significant,Non Significant,Non Significant,True
192,Non Significant,Non Significant,Non Significant,True
193,Non Significant,Non Significant,Non Significant,True
194,Non Significant,Non Significant,Upregulated,False
195,Non Significant,Non Significant,Non Significant,True
196,Non Significant,Non Significant,Non Significant,True
