Accession,Abundances (by Bio. Rep.): Sample- A1,Abundances (by Bio. Rep.): Sample- A2,Abundances (by Bio. Rep.): Sample- A3,Abundances (by Bio. Rep.): Sample- B1,Abundances (by Bio. Rep.): Sample- B2,Abundances (by Bio. Rep.): Sample- B3,Abundances (by Bio. Rep.): Sample- C1,Abundances (by Bio. Rep.): Sample- C2,Abundances (by Bio. Rep.): Sample- C3,Abundances (by Bio. Rep.): Cntrol 1,Abundances (by Bio. Rep.): Cntrol 2,Abundances (by Bio. Rep.): Cntrol 3
XP_016884680.1,5658.883333333334,6688.291666666665,6633.600000000001,5509.866666666666,6535.558333333333,6633.600000000001,5180.733333333333,6197.083333333333,6566.325,5752.766666666667,6566.325,6535.558333333333
NP_002037.2,36379.16666666668,36379.16666666668,43229.01666666666,33429.85,33429.85,39022.825000000004,34914.50000000001,31276.616666666665,39022.825000000004,37842.225000000006,37842.225000000006,41877.066666666666
NP_001244957.1,25428.61666666667,19573.091666666667,22089.941666666666,23154.725000000002,18343.8,20931.775,22855.13333333333,17569.68333333333,19204.516666666666,23802.908333333336,19573.091666666667,20931.775
NP_000173.2,10200.341666666667,10674.7,13218.383333333333,11158.391666666665,12403.575000000003,14531.766666666665,12153.683333333332,13218.383333333333,16128.449999999999,9802.291666666666,10331.125,13114.6
NP_001677.2,14258.366666666667,14020.833333333334,20608.30833333333,14683.733333333332,15018.474999999999,23802.908333333336,14886.500000000002,15018.474999999999,23802.908333333336,13766.699999999999,13218.383333333333,19573.091666666667
NP_003861.1,5180.733333333333,5083.916666666667,3837.2499999999995,4933.15,4637.708333333333,3738.2000000000007,4637.708333333333,4516.408333333334,3665.991666666667,5148.516666666666,4873.708333333333,3738.2000000000007
NP_054733.2,6789.300000000002,5287.508333333334,6855.191666666667,6997.916666666667,5450.191666666667,7346.316666666667,7098.616666666666,5450.191666666667,7454.891666666666,6633.600000000001,5180.733333333333,6908.641666666666
NP_001341087.1,18017.26666666667,20608.30833333333,22855.13333333333,20608.30833333333,24454.075,26986.133333333335,22089.941666666666,24164.241666666665,28609.675000000003,16469.858333333334,19204.516666666666,20608.30833333333
NP_006079.1,17569.68333333333,17111.6,20208.374999999996,16785.7,16785.7,19573.091666666667,18683.083333333332,18683.083333333332,23154.725000000002,22089.941666666666,22089.941666666666,28609.675000000003
NP_821133.1,6026.691666666667,5450.191666666667,4933.15,5937.483333333334,5329.925,4715.533333333334,6908.641666666666,6388.450000000001,5752.766666666667,8046.808333333333,7098.616666666666,6789.300000000002
